company,console,name,metascore
Sony,PS3,SkyDrift,76
Sony,PS3,Hard Corps: Uprising,76
Sony,PS3,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,76
Sony,PS3,LEGO Star Wars III: The Clone Wars,76
Sony,PS3,Back to the Future: The Game - Episode I: It's About Time,75
Sony,PS3,The House of the Dead: Overkill - Extended Cut,75
Sony,PS3,WWE All Stars,75
Sony,PS3,Dead Nation: Road of Devastation,75
Sony,PS3,Cars 2: The Video Game,74
Sony,PS3,Atelier Totori: The Adventurer of Arland,74
Sony,PS3,Magic: The Gathering - Duels of the Planeswalkers 2012,74
Sony,PS3,F.E.A.R. 3,74
Sony,PS3,de Blob 2,74
Sony,PS3,Mercury Hg,74
Sony,PS3,Hamilton's Great Adventure,74
Sony,PS3,Rocketbirds: Hardboiled Chicken,74
Sony,PS3,LEGO Pirates of the Caribbean: The Video Game,73
Sony,PS3,Eufloria,73
Sony,PS3,Sideway: New York,73
Sony,PS3,Arcana Heart 3,73
Sony,PS3,Galaga Legions DX,72
Sony,PS3,No More Heroes: Heroes Paradise,72
Sony,PS3,Dead Rising 2: Off the Record,72
Sony,PS3,WWE '12,72
Sony,PS3,LEGO Batman: The Videogame,75
Sony,PS3,Naruto: Ultimate Ninja Storm,75
Sony,PS3,Top Spin 3,75
Sony,PS3,Army of Two,74
Sony,PS3,Age of Booty,74
Sony,PS3,Pro Evolution Soccer 2008,74
Sony,PS3,PAIN: Amusement Park,73
Sony,PS3,Overlord: Raising Hell,72
Sony,PS3,Dark Sector,72
Sony,PS3,The Club,72
Sony,PS3,Mercenaries 2: World in Flames,72
Sony,PS3,Dragon Ball Z: Burst Limit,71
Sony,PS3,Ferrari Challenge Trofeo Pirelli,71
Sony,PS3,Silent Hill: Homecoming,71
Sony,PS3,Green Day: Rock Band,76
Sony,PS3,MAG,76
Sony,PS3,Naruto Shippuden: Ultimate Ninja Storm 2,76
Sony,PS3,Sports Champions,76
Sony,PS3,After Burner Climax,75
Sony,PS3,Hoard,75
Sony,PS3,Heavy Rain Chronicles Episode 1: The Taxidermist,75
Sony,PS3,Dante's Inferno,75
Sony,PS3,Medal of Honor,75
Sony,PS3,Prince of Persia: The Forgotten Sands,75
Sony,PS3,Def Jam Rapstar,75
Sony,PS3,Mafia II,75
Sony,PS3,Shank,75
Sony,PS3,Sonic the Hedgehog 4: Episode I,74
Sony,PS3,Major League Baseball 2K10,74
Sony,PS3,Spider-Man: Shattered Dimensions,74
Sony,PS3,Star Ocean: The Last Hope International,74
Sony,PS3,WWE SmackDown vs. Raw 2011,74
Sony,PS3,Guitar Hero: Warriors of Rock,74
Sony,PS3,Army of Two: The 40th Day,74
Sony,PS3,Borderlands: Claptrap's New Robot Revolution,74
Sony,PS3,Tumble,74
Sony,PS3,Twisted Metal,76
Sony,PS3,FIFA Street,76
Sony,PS3,WWE '13,76
Sony,PS3,NiGHTS into Dreams...,75
Sony,PS3,Jet Set Radio,75
Sony,PS3,Awesomenauts,75
Sony,PS3,I Am Alive,75
Sony,PS3,Tiger Woods PGA Tour 13,75
Sony,PS3,DiRT Showdown,75
Sony,PS3,Syndicate,75
Sony,PS3,Guardians of Middle-Earth,75
Sony,PS3,Resident Evil 6,74
Sony,PS3,Naruto Shippuden: Ultimate Ninja Storm Generations,74
Sony,PS3,Devil May Cry HD Collection,74
